name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work
Unai Simón Mendibil	27	190	89	R	B	GK	["GK"]	Athletic Club	2029	31	88	86	72	62	62	88	70	59	55	63	68	67	69	37	81	43	63	49	56	84	66	56	73	86	70
Andoni Gorosabel Espinosa	28	174	70	R	B	SB	["SB"]	Athletic Club	2028	76	75	75	76	79	76	80	75	77	77	79	72	77	70	61	68	66	61	68	76	79	78	80	74	50	73
Daniel Vivian Moreno	25	183	83	R	B	CBT	["CBT"]	Athletic Club	2026	56	86	84	82	85	79	88	74	76	78	81	73	67	61	63	68	64	63	62	79	88	78	63	85	50	82
Aitor Paredes Casamichana	24	186	79	R	B	CBT	["CBT"]	Athletic Club	2029	54	81	80	76	80	70	83	68	65	71	77	71	63	49	61	68	62	61	62	76	80	72	62	78	50	75
Yeray Álvarez López	29	182	79	R	B	CBT	["CBT"]	Athletic Club	2026	60	86	80	76	73	66	88	64	74	68	84	78	75	67	63	74	66	63	64	81	81	80	67	81	50	85
Mikel Vesga Arruti	31	191	86	L	B	CM	["CM","DM"]	Athletic Club	2027	77	75	89	85	66	66	79	62	75	65	80	80	76	75	78	81	74	63	66	76	75	78	78	79	50	76
Alejandro Berenguer Remiro	29	175	73	R	B	WF	["WF","SM"]	Athletic Club	2027	83	68	78	83	86	88	82	88	84	86	80	79	78	79	81	79	78	79	79	78	83	83	82	81	50	81
Oihan Sancet Tirapu	24	188	77	R	B	AM	["AM","CM","CF","SS"]	Athletic Club	2032	86	69	83	88	78	76	87	82	87	82	86	85	83	82	85	85	80	65	84	84	88	86	87	86	50	86
Iñaki Williams Arthuer	30	186	80	R	B	WF	["WF","SM","CF"]	Athletic Club	2028	87	51	86	90	95	94	86	87	85	90	80	82	77	84	85	87	81	68	83	84	96	84	86	85	50	83
Nicholas Williams Arthuer	22	181	67	R	B	WF	["WF","SM"]	Athletic Club	2027	83	42	76	85	94	95	84	94	89	92	85	83	79	83	82	81	77	78	81	73	81	88	84	76	50	78
Álvaro Djaló Dias Fernandes	25	175	65	R	B	WF	["WF","SM","AM"]	Athletic Club	2029	79	56	75	77	91	92	81	90	82	87	78	72	72	69	78	68	75	81	82	63	74	82	81	69	50	72
Gorka Guruzeta Rodríguez	28	188	80	R	B	CF	["CF"]	Athletic Club	2028	82	52	85	83	79	79	82	79	82	80	81	83	72	79	83	85	81	63	76	83	90	83	82	80	50	79
Julen Agirrezabala Astúlez	23	187	80	L	B	GK	["GK"]	Athletic Club	2027	31	82	79	71	62	62	79	67	58	55	61	68	66	69	31	81	43	61	49	55	76	65	47	63	80	67
