name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work	overall
Kylian Mbappé Lottin	25	182	75	R	B	CF	["CF","WF","SM"]	Real Madrid	2029	95	38	82	90	97	97	95	96	94	96	90	90	82	86	95	91	88	78	83	81	90	94	95	82	50	85	91
Rodrigo Hernández Cascante	28	191	82	R	B	DM	["DM","CM"]	Manchester City	2027	87	88	85	93	71	70	95	71	90	79	95	93	88	86	81	93	86	74	88	86	85	93	95	91	50	87	91
Erling Braut Håland	24	195	94	L	B	CF	["CF"]	Manchester City	2027	96	48	94	83	95	83	95	82	86	88	83	88	73	79	97	95	87	73	80	88	93	88	95	87	50	90	91
Jude Victor William Bellingham	21	186	75	R	B	AM	["AM","CM"]	Real Madrid	2029	93	78	81	95	83	84	93	84	92	87	92	89	84	79	92	87	86	77	77	82	86	92	93	92	50	92	90
Vinicius José Paixão de Oliveira Junior	24	176	73	R	B	WF	["WF","SM","CF"]	Real Madrid	2027	90	39	78	88	96	96	90	95	94	95	88	85	85	84	92	84	85	73	82	64	78	93	90	79	50	83	90
Kevin De Bruyne	33	181	75	R	B	CM	["CM","AM"]	Manchester City	2025	92	69	80	85	72	72	94	75	92	80	95	94	95	94	88	93	90	88	94	68	75	94	94	83	50	90	90
Harry Edward Kane	31	188	86	R	B	CF	["CF"]	FC Bayern München	2027	95	52	88	82	71	69	95	70	89	78	90	91	88	89	96	95	90	78	85	93	89	90	95	84	50	90	90
Martin Ødegaard	25	178	68	L	B	CM	["CM"]	Arsenal	2028	89	71	76	90	74	76	93	82	92	82	93	88	90	86	87	85	87	88	86	67	71	93	93	82	50	85	89
Gianluigi Donnarumma	25	196	90	R	B	GK	["GK"]	Paris Saint Germain	2026	31	90	88	73	62	62	92	77	60	57	63	66	66	66	36	76	43	63	49	57	86	67	56	81	89	77	89
Alisson Ramsés Becker	32	193	91	R	B	GK	["GK"]	Liverpool	2027	31	91	89	73	62	66	92	71	61	55	71	74	73	73	38	87	45	64	49	58	87	68	57	83	89	81	89
Thibaut Nicolas Marc Courtois	32	200	96	L	B	GK	["GK"]	Real Madrid	2026	31	90	88	73	62	62	93	78	61	56	64	68	68	68	39	79	43	64	49	58	82	68	58	83	90	76	89
Lautaro Javier Martínez	27	174	72	R	B	CF	["CF"]	Inter	2029	94	58	90	88	83	86	94	88	90	85	85	85	79	81	95	89	89	75	83	90	94	92	94	89	50	90	89
Virgil van Dijk	33	193	92	R	B	CBT	["CBT"]	Liverpool	2025	67	93	94	80	89	71	91	66	81	82	85	83	78	72	66	84	69	78	66	90	90	83	72	84	50	91	89
Marc-André ter Stegen	32	187	85	R	B	GK	["GK"]	FC Barcelona	2028	31	90	86	73	62	62	93	71	61	55	72	76	75	75	39	90	43	64	49	58	84	68	56	84	89	82	89
Mohamed Salah Hamed Ghaly محمد صلاح	32	175	72	L	B	WF	["WF","SM"]	Liverpool	2025	94	47	85	90	90	90	95	90	90	90	90	87	86	85	93	85	87	78	87	71	82	90	95	82	50	86	89
Philip Walter Foden	24	171	69	L	B	WF	["WF","SM","AM"]	Manchester City	2027	88	63	79	87	85	90	88	92	92	88	90	90	86	87	89	90	82	81	90	63	71	92	88	80	50	83	88
Lionel Andrés Messi Cuccitini	37	169	67	L	B	WF	["WF","SM","CF","AM","SS"]	Inter Miami	2025	90	35	84	78	77	88	88	90	94	85	90	87	87	84	88	85	90	93	94	71	75	94	88	69	50	82	88
Antoine Griezmann	33	176	73	L	B	CF	["CF"]	Atlético Madrid	2026	92	56	82	89	83	84	92	87	92	86	91	89	88	86	92	87	90	88	90	88	89	93	92	85	50	88	88
Rúben dos Santos Gato Alves Dias	27	187	82	R	B	CBT	["CBT"]	Manchester City	2027	63	93	91	84	73	70	92	69	78	71	89	82	77	69	64	78	64	64	62	90	90	82	69	88	50	90	88
Robert Lewandowski	36	185	81	R	B	CF	["CF"]	FC Barcelona	2026	92	45	90	83	79	79	92	80	91	83	88	88	81	85	93	90	88	88	82	91	93	93	92	84	50	88	88
Federico Santiago Valverde Dipetta	26	182	78	R	B	CM	["CM","SM"]	Real Madrid	2029	90	80	85	93	92	86	91	83	89	89	90	90	87	87	84	92	85	77	78	73	85	90	91	89	50	88	88
