name	age	height	weight	foot	injury tolerance	position_prefered_team	positions	fifa_team	contract_valid_until	nationality	attack	defence	balance	stamina	speed	acceleration	response	agility	dribble accuracy	dribble speed	short pass accuracy	short pass speed	long pass accuracy	long pass speed	shot accuracy	shot power	shot technique	free kick accuracy	swerve	heading	jump	technique	aggression	mentality	gk skills	team work
Rome Jayden Owusu-Oduro	20	188	82	R	B	GK	["GK"]	AZ Alkmaar	2028	Netherlands	31	74	76	71	62	62	76	63	58	55	61	64	62	64	30	69	43	61	49	55	70	65	46	62	73	61
Wouter Goes	20	188	73	R	B	CBT	["CBT"]	AZ Alkmaar	2028	Netherlands	52	76	74	73	66	74	76	74	68	60	73	68	65	57	61	68	61	61	62	74	77	71	57	78	50	78
Rolando Maximiliano "Bruno" Martins Indi	32	185	76	L	B	CBT	["CBT"]	AZ Alkmaar	2025	Netherlands	56	76	85	71	66	66	76	62	67	60	74	69	70	64	61	68	61	61	62	76	74	70	61	73	50	76
Alexandre Manuel Penetra Correia	23	186	79	R	B	CBT	["CBT","SB"]	AZ Alkmaar	2028	Portugal	66	75	77	79	73	70	78	64	65	67	70	67	65	62	61	68	60	61	62	76	81	68	76	76	50	65
Peer Koopmeiners	24	186	78	R	B	DM	["DM","CM"]	AZ Alkmaar	2028	Netherlands	66	70	78	83	74	70	76	70	71	70	77	71	73	67	61	68	62	72	72	68	76	73	76	79	50	72
Ruben van Bommel	20	185	83	R	B	WF	["WF","SM"]	AZ Alkmaar	2027	Netherlands	72	33	75	71	87	87	73	84	77	82	72	71	70	71	77	72	70	61	71	61	66	76	73	65	50	67
Jordy Clasie	33	170	68	R	B	DM	["DM","CM"]	AZ Alkmaar	2025	Netherlands	75	77	79	77	67	66	82	71	79	72	85	83	83	79	65	81	76	75	79	62	66	81	80	78	50	78
Troy Daniel Parrott	22	185	72	R	B	CF	["CF"]	AZ Alkmaar	2029	Republic of Ireland	76	51	72	77	81	80	76	80	76	79	71	71	66	68	75	74	70	66	68	71	79	75	76	74	50	73
Sven Mijnans	24	190	70	L	B	CM	["CM","AM","WF","SM"]	AZ Alkmaar	2028	Netherlands	78	66	71	93	66	78	76	78	80	71	80	78	76	76	78	77	72	61	72	70	70	80	76	82	50	76
Ibrahim Sadiq	24	168	68	R	B	WF	["WF","SM"]	AZ Alkmaar	2028	Ghana	76	41	83	81	87	92	75	92	77	82	71	70	65	69	75	71	69	61	67	61	76	76	75	76	50	71
Hobie Verhulst	31	193	92	L	B	GK	["GK"]	AZ Alkmaar	2025	Netherlands	31	72	78	71	62	62	73	62	58	55	61	66	64	66	34	74	43	61	49	55	70	65	48	62	72	57
Sem Westerveld	22	191	73	R	B	GK	["GK"]	AZ Alkmaar	2026	Spain	31	71	76	71	62	62	72	61	58	55	61	63	62	63	31	67	43	61	49	55	68	65	41	55	71	57
Kristijan Belić Кристијан Белић	23	178	71	R	B	DM	["DM","CM"]	AZ Alkmaar	2028	Serbia	66	74	74	83	66	78	76	76	73	67	76	74	73	71	61	72	68	61	72	73	79	73	75	82	50	73
Seiya Maikuma 毎熊 晟矢	27	178	68	R	B	SB	["SB"]	AZ Alkmaar	2028	Japan	72	69	71	83	76	80	74	81	74	74	75	72	73	73	67	71	68	61	67	63	74	76	74	76	50	70
Jayden Osei Addai	19	175	73	L	B	WF	["WF","SM"]	AZ Alkmaar	2028	Netherlands	66	39	73	71	85	91	65	87	74	80	68	66	68	68	72	68	65	61	67	61	68	73	65	63	50	65
David Møller Wolfe	22	185	78	L	B	SB	["SB"]	AZ Alkmaar	2028	Norway	68	67	76	83	81	79	72	75	74	76	71	67	69	66	63	68	63	61	62	67	79	76	72	78	50	67
Ernest Poku	20	173	63	R	B	WF	["WF","SM"]	AZ Alkmaar	2026	Netherlands	67	37	75	71	93	94	70	90	76	85	67	71	63	71	65	79	67	61	70	61	74	75	70	67	50	64
Maxim Dekker	20	191	78	L	B	CBT	["CBT"]	AZ Alkmaar	2026	Netherlands	57	73	78	73	68	68	71	65	65	65	71	67	65	57	61	68	58	61	62	74	78	65	61	73	50	69
Mayckel Lahdo	22	170	76	R	B	WF	["WF","SM"]	AZ Alkmaar	2027	Sweden	71	35	73	71	79	86	69	87	77	78	69	70	67	69	75	73	66	61	74	61	66	77	69	65	50	66
Lewis Schouten	20	191	78	R	B	DM	["DM","CM","CBT"]	AZ Alkmaar	2027	Netherlands	63	64	74	71	76	70	69	64	70	70	73	68	65	58	61	68	62	63	62	67	73	73	66	68	50	67
Kees Smit	19	180	66	R	B	CM	["CM","AM"]	AZ Alkmaar	2028	Netherlands	71	63	72	73	75	72	72	72	74	74	73	69	68	63	64	68	64	61	62	63	68	75	72	69	50	70
Zico Buurmeester	22	183	63	R	B	CM	["CM","DM"]	AZ Alkmaar	2026	Netherlands	69	64	73	81	66	72	73	74	73	66	76	74	73	71	68	74	65	61	62	63	69	75	73	77	50	71
Lequincio Zeefuik	20	198	78	R	B	CF	["CF","AM","SS"]	AZ Alkmaar	2029	Netherlands	68	33	83	73	85	81	68	77	71	77	63	68	58	64	70	75	61	61	62	68	92	70	68	71	50	67
Denso Kasius	22	185	73	R	B	SB	["SB"]	AZ Alkmaar	2027	Netherlands	70	63	69	76	82	79	68	80	72	76	73	70	71	70	61	68	63	61	68	63	66	73	68	75	50	71
Daniël Virginio Deen	21	188	72	R	B	GK	["GK"]	AZ Alkmaar	2025	Netherlands	31	68	72	71	62	62	66	59	58	55	61	62	60	62	32	66	43	61	49	55	65	65	41	54	69	56
Dave Kwakman	20	183	78	R	B	CM	["CM","DM","CBT"]	AZ Alkmaar	2028	Netherlands	68	62	70	71	80	79	70	77	73	76	74	70	66	62	61	68	64	61	62	63	72	73	70	69	50	67
Mees De Wit	26	180	78	L	B	SB	["SB"]	AZ Alkmaar	2027	Netherlands	73	63	77	81	78	79	71	70	76	77	73	69	73	67	61	68	67	63	72	67	79	75	71	75	50	71
Mexx Meerdink	21	183	68	L	B	CF	["CF"]	AZ Alkmaar	2027	Netherlands	74	36	75	71	66	66	71	62	71	65	70	73	58	60	75	78	68	63	62	73	76	73	71	71	50	70
Ro-Zangelo Daal	20	173	73	R	B	WF	["WF","SM"]	AZ Alkmaar	2028	Netherlands	66	36	70	71	85	85	63	82	72	78	66	64	61	62	65	68	62	61	62	61	66	71	62	63	50	64
Jeroen Zoet	34	188	87	R	B	GK	["GK"]	AZ Alkmaar	2027	Netherlands	31	76	79	71	62	62	76	68	58	55	61	67	65	67	34	78	43	61	49	55	74	65	47	63	77	67
Elijah Dijkstra	18	172	67	R	B	SB	["SB"]	AZ Alkmaar	2029	Netherlands	62	58	69	71	87	84	64	83	69	76	65	64	63	64	61	68	61	61	62	61	66	70	64	68	50	64
Jorn Berkhout	22	181	66	R	B	CBT	["CBT"]	AZ Alkmaar	2026	Netherlands	49	71	70	71	79	75	71	78	65	70	65	64	58	52	61	68	58	61	62	69	69	65	52	66	50	64
Enoch Mayele Kiemba Mastoras	18	173	63	R	B	DM	["DM","CBT","SB"]	AZ Alkmaar	2026	Netherlands	64	66	74	71	76	77	71	76	70	71	71	68	67	60	61	68	62	61	66	68	75	71	71	72	50	70
Devyne Fabian Jairo Rensch	22	179	73	R	B	SB	["SB","CBT"]	Ajax	2025	Netherlands	79	74	70	78	79	79	78	78	77	76	79	72	72	67	68	68	64	61	62	74	78	78	78	78	50	76
Anton Gaaei	22	183	73	R	B	SB	["SB"]	Ajax	2028	Denmark	69	62	68	86	86	85	68	81	72	79	67	65	66	66	61	68	62	61	62	61	71	72	67	79	50	70
Jorrel Hato	18	182	76	L	B	SB	["SB","CBT"]	Ajax	2028	Netherlands	71	75	76	78	90	87	81	83	77	82	81	73	74	65	61	68	64	61	64	73	89	79	79	77	50	72
Owen Colin Wijndal	25	176	65	L	B	SB	["SB"]	Ajax	2027	Netherlands	74	69	76	78	80	85	77	82	75	77	77	73	75	72	61	70	67	61	75	66	72	76	77	79	50	75
Jordan Brian Henderson	34	187	80	R	B	DM	["DM","CM"]	Ajax	2026	England	83	77	79	85	70	68	85	69	83	75	85	82	86	82	77	80	78	79	83	73	77	84	85	85	50	83
Kenneth Ina Dorothea Taylor	22	182	73	L	B	CM	["CM","AM"]	Ajax	2027	Netherlands	77	67	74	81	70	87	78	83	80	74	82	80	80	78	74	78	74	76	79	67	74	81	78	79	50	78
Brian Ebenezer Adjei Brobbey	22	180	78	R	B	CF	["CF"]	Ajax	2027	Netherlands	84	36	94	71	90	85	82	77	78	82	77	79	61	64	82	82	75	61	62	76	93	81	82	72	50	75
Chuba Amechi Akpom	29	183	81	R	B	CF	["CF","AM","SS"]	Ajax	2028	England	82	36	81	76	80	80	81	79	76	77	75	77	62	70	81	81	74	61	62	79	89	77	81	74	50	74
Mika Marcel Godts	19	176	70	R	B	WF	["WF","SM"]	Ajax	2029	Belgium	74	43	78	76	78	83	73	83	81	80	76	74	71	71	69	73	68	64	69	61	69	80	73	67	50	70
Jay Gorter	24	190	83	R	B	GK	["GK"]	Ajax	2026	Netherlands	31	77	77	71	62	62	80	65	58	55	61	65	63	65	37	72	43	61	49	55	74	65	49	66	74	66
Ahmetcan Kaplan	22	189	75	L	B	CBT	["CBT"]	Ajax	2027	Türkiye	52	77	79	71	70	68	76	64	67	66	76	71	67	49	61	68	62	61	62	74	79	73	56	71	50	74
Youri Baas	21	182	71	L	B	CBT	["CBT","SB"]	Ajax	2026	Netherlands	68	72	69	82	78	71	79	72	75	76	77	71	71	64	61	68	63	61	62	73	81	75	76	75	50	67
Sivert Heggheim Mannsverk	22	185	77	R	B	DM	["DM","CM"]	Ajax	2028	Norway	71	67	77	85	66	73	72	74	74	68	76	72	70	67	65	69	64	64	69	67	75	74	72	80	50	72
Davy Klaassen	31	179	70	R	B	CM	["CM","AM"]	Ajax	2025	Netherlands	84	73	78	84	66	71	82	71	80	66	81	81	77	77	83	82	81	64	68	80	82	83	82	83	50	82
Julian Dean Rijkhoff	19	183	72	R	B	CF	["CF"]	Ajax	2027	Netherlands	72	32	72	71	74	76	70	79	76	74	71	68	58	55	75	68	70	61	68	64	68	77	70	63	50	67
Bertrand Isidore Traoré	29	181	73	L	B	WF	["WF","SM"]	Ajax	2026	Burkina Faso	77	47	70	71	80	79	75	83	85	82	79	77	75	76	78	77	78	78	82	73	78	87	75	69	50	75
